dataset_ID,format_flag,dataset_name,data_source,system,climate,taxa,organism,location,CentralLatitude,CentralLongitude,LatLong_sites,Raw_datafile_name,Raw_start_year,Raw_end_year,Raw_nRecs,Raw_nTime,Raw_nSpecies,Raw_siteUnit,spatial_scale_variable,Raw_nSites,Notes_siteFormat,Notes_spFormat,Raw_spatial_grain,Raw_spatial_grain_unit,Raw_Mean_Individuals_perSiteYear,Raw_Min_Individuals_perSiteYear,Raw_Max_Individuals_perSiteYear,countFormat,Notes_countFormat,Formatted_nRecs,Formatted_start_year,Formatted_end_year,Formatted_nSites,Formatted_nTime,Formatted_nSpecies,Formatted_Mean_Individuals_perSiteYear,Formatted_Min_Individuals_perSiteYear,Formatted_Max_Individuals_perSiteYear,Formatted_spatial_grain,Formatted_spatial_grain_unit,Notes_timeFormat,subannualTgrain,PropOcc_notes,General_notes,Citation1,Citation2,Citation3,Citation4,Citation5,Citation6
1,1,North American Breeding Bird Survey,https://www.pwrc.usgs.gov/bbs/,Terrestrial,Temperate,Bird,Birds,,NA,NA,N,NA,NA,NA,NA,NA,NA,site,N,NA,each site is a full 50-stop BBS route,waterbirds and nocturnal birds had previously been filtered out,NA,NA,NA,NA,NA,count,Data represents number of individuals seen over 50 3-min point counts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Each site sampled once annually during the breeding season,N,,,,,,,,
33,1,Western English Channel phytoplankton,http://plankt.oxfordjournals.org/content/32/5/643.full#sec-5,Marine,Temperate,Plankton,Phytoplankton,,50.25,-4.217,N,NA,1992,2009,1735,18,157,station_sampling_info,N,1,Only one site in this dataset. The site name gives information on sample method. No changes made.,"several species removed. Firstly, there were a few instances where a an entry was not identified down enough to be distinguished from other entries. For example, if one entry is only specified to the genus, but there are other entries of that genus that are narrowed down to the species, there is a possibility for overlap. Entries with uncertain species marked with cf. were renamed into ""Genus sp."" if there were multiple of those entries. Changed one entry that identified the organism to the form, which is more than specific than species, to just the species. ",100,ml,18003537.56,731376,28735262,count,Data represents count. No changes made,1735,1992,2009,1,18,157,18003537.56,731376,28735262,NA,NA,"temporal data provided as years, only modification was converting to a numeric object",N,,,"C. E. Widdicombe, D. Eloire, D. Harbour, R. P. Harris, P. J. Somerfield, Long-term phytoplankton community dynamics in the Western English Channel. Journal of Plankton Research 32, 643 (2010).",NA,NA,NA,NA,NA
41,1,Breeding Birds from Preston 1948,http://www.jstor.org/stable/1931793,Terrestrial,Temperate,Bird,Birds,,NA,NA,N,NA,1923,1940,418,10,56,sampleID,NA,1,no site information available here.  All sites are listed as censusbreedingbirds_Neotoma.  May need to get data again or re-check source.,"all species good, none removed from data",69,acres,115.1,95,145,count,Data represents abundance counts. no changes or removals necessary,418,1923,1940,1,10,56,115.1,95,145,NA,NA,data provided as years. only modification to this field was converting to numeric object.,N,,,"F. W. Preston, Time and Space and the Variation of Species. Ecology 41, 612 (1960).",NA,NA,NA,NA,NA
46,1,Skokholm birds,http://ecologicaldata.org/wiki/skokholm-bird-observatory,Terrestrial,Temperate,Bird,Birds,,51.41634,-5.1721802,N,NA,1928,1979,528,47,29,site,N,1,"SampleID column from raw dataset just contains the year sampled. There is only one site for this dataset, so all site column entries were changed to ""Skokholm",No species removed.,1,km2,186.3617021,91,321,count,Data represents count. There were no NAs nor 0s that required removal,528,1928,1979,1,47,29,186.3617021,91,321,NA,NA,temporal data provided as years. Only modification was converting it to numerical object,N,,,"M. Williamson, The Land-Bird Community of Skokholm: Ordination and Turnover. Oikos 41, 378 (1983).",NA,NA,NA,NA,NA
47,1,Canadian duck censuses,http://ecologicaldata.org/wiki/redvers-waterfowl-census,Terrestrial,Temperate,Bird,Ducks,,50.845457,-107.4463,N,NA,1952,1977,392,26,13,region,N,2,site data included two sites followed by year: Redvers_year and Lousana_year.  Used substring to remove the year from the site leaving just the site in the data.,"all species good, none removed from data",11.94,km2,299.9714286,59,576,count,Data represents abundance counts. no changes or removals necessary,392,1952,1977,2,26,13,299.9714286,59,576,NA,NA,data provided as years. only modification to this field was converting to numeric object.,N,,,"W. L. Vickery, T. D. Nudds, Detection of Density-Dependent Effects in Annual Duck Censuses. Ecology 65, 96 (1984).",NA,NA,NA,NA,NA
67,1,South African Coordinated Waterbird Counts,http://www.vliz.be/en/imis?module=dataset&dasid=3738,Terrestrial,Temperate,Bird,Waterbirds,,-28.47,24.675,N,NA,1983,2006,8594,24,66,SampleID,N,423,"Sites are listed as lat_long, but each lat_long corresponds to a specific wetland. Thus we are NOT treating this like a lat-long dataset that could be spatially aggregated.",Removed several species entries because they did not reference recognizable species: LESSER-CRESTED_X_SAND and KERMADEC_X_ROUND_ISLA. There were many entries that were cut off in the original dataset. These were renamed to their full names. For example: PACHYPTILA_CRASSIROST was replaced with PACHYPTILA_CRASSIROSTRIS,NA,NA,NA,NA,NA,count,Count data are suspected to be sums of binary presence data across surveys within any one year. They should not be relied on for estimates of abundance or mean abundance.,3881,1983,2006,46,24,57,15.10093458,1,109,NA,NA,temporal data provided yearly. only change made was to a numeric object.,N,,,"""Animal Demography Unit - Coordinated Waterbird Counts (CWAC) - AfrOBIS"". (Available at http://www.iobis.org/, accessed 2012).",NA,NA,NA,NA,NA
69,0,,https://data.nbn.org.uk/Datasets/GA000089,Marine,Temperate,Bird,Seabirds,,55.65135,-4.4680754,,NA,NA,NA,2946,10,26,,,1434,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,spatial extent is in square kilometers,"P. I. Mitchell, S. F. Newton, N. Ratcliffe, T. E. Dunn, ""Seabird 2000"". Eurobis Joint Nature Conservation Committee, Peterborough, UK. (Available at http://www.iobis.org/, accessed 2012)",NA,NA,NA,NA,NA
70,1,Belgian Migrating Lepidoptera Survey,https://web.archive.org/web/19990220041409/http://users.skynet.be/bs663526/,Terrestrial,Temperate,Arthropod,Butterflies,,51,4,N,NA,1983,1996,303,14,25,site,N,1,data includes only one site: Belgium. No changes made,"all species good, none removed from data",30528,km2,25364.78571,218,77630,count,Data represents count. There were no NAs nor 0s that required removal,303,1983,1996,1,14,25,25364.78571,218,77630,NA,NA,temporal data provided as years. The only modification to this field involved converting to a numeric object.,N,,,"B. Vanholder, ""Belgian Migrating Lepidoptera (1997)"". (Available at http://www.club.innet.be/~pub00644, accessed 2012).","""Belgian Migrating Lepidoptera"". NERC Centre for Population Biology, Imperial College, The Global Population Dynamics Database v2.0. (Available at http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012).",NA,NA,NA,NA
71,5,,http://dw.sfos.uaf.edu/rest/metadata/ArcOD/2007P6,Marine,Polar/Temperate,Plankton,Phytoplankton,,77.004997,72.396996,N,5722656aba038_20160428_213406.csv,1993,2003,12238,171,365,locality_latlong,Y,142,"Sampling locations are designated by lat-long, but these are nested within geographically defined regions.","3 unid taxa were removed, and several other taxa were lumped with the genus or higher taxon",NA,NA,NA,NA,NA,density,Density estimated from microscope counts.,688,1998,2003,1,6,221,NA,NA,NA,NA,NA,"Year, month and day fields combined.",Y,With a min time of 10 years - proportional occurrences for this dataset needed to be evaluated as if there were only 1 site!,spatial extent is in square kilometers,"T. N. Ratkova, ""Phytoplankton of the White Sea, Barents Sea, Amundsen & Nansen Basins"". Institute of Oceanology, Academy of Sciences of Russia, Moscow, Russia; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. (Available at http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012). ",NA,NA,NA,NA,NA
72,0,,http://wsbs-msu.ru/res/DictionaryAttachment/395/DOC_FILENAME/Pertsova_Kosobokova_Zooplankton%20of%20the%20White%20Sea_2003.pdf,Marine,Polar/Temperate,Plankton,Zooplankton,,65.633301,36.225,N,NA,NA,NA,12471,5,108,sites coded,N,7490,"Sites have a lot of  information including net mesh size, some species or catch information, and several number combinations. No lat_longs. No changes made to site data, need to find metdata for info on site coding","no bad spp to remove, nothing changed in species field.",NA,NA,253.1720995,0.1,19500,count,"Data represents abundance count. There were no NAs nor 0s that required removal.  Count data is not in whole numbers, must be concentrations or densities per a certain volume of seawater",12471,NA,NA,7490,NA,108,253.1720995,0.1,19500,NA,NA,data provided as years. only modification to this field was converting to numeric object.,N,Only 5 years of data present across the dataset -- proportional occurrence frame was not made.,spatial extent is in square kilometers,"K. Kosobokova, ""White Sea Zooplankton"".  Shirshov Institute of Oceanology, Moscow; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. (Available at http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012).",NA,NA,NA,NA,NA
